,time_in_cycles,LPCompOT,HPCompOT,LPTurbineOT,HPCompOP,PhyFanSpeed,PhyCoreSpeed,CoreSpeedDifference,HPCOStaticPre,RFuelFlow,BypassRatio,BleedEnthalpy,HPTurbineCoolAirFlow,LPTurbineAirFlow,RUL
18,19,641.79,1587.56,1400.35,554.18,2388.04,9053.99,-924.8599999999997,47.4,521.89,8.4321,391,38.8,23.3464,173
19,20,643.04,1581.11,1405.23,554.81,2388.05,9045.9,-916.1899999999996,47.22,522.07,8.421,392,39.03,23.422,172
20,21,642.37,1586.07,1398.13,554.08,2388.11,9048.15,-914.1299999999992,47.15,522.42,8.4049,392,39.09,23.3101,171
21,22,642.77,1592.93,1400.57,553.63,2388.04,9061.21,-930.7999999999993,47.24,522.0,8.4034,392,38.92,23.3792,170
22,23,642.14,1588.19,1394.75,553.98,2388.05,9046.28,-918.380000000001,47.25,521.52,8.424,392,38.94,23.4562,169
23,24,642.38,1590.83,1398.81,553.49,2388.12,9043.76,-909.8800000000001,47.44,522.13,8.3891,392,39.0,23.3696,168
24,25,642.77,1594.1,1399.39,554.0,2388.02,9054.16,-917.5500000000002,47.36,522.56,8.3917,393,38.95,23.4288,167
25,26,642.16,1589.08,1396.07,554.11,2388.07,9047.11,-915.960000000001,47.26,522.28,8.426,394,38.86,23.4149,166
26,27,642.44,1590.47,1401.84,554.07,2388.02,9047.96,-913.3599999999988,47.37,522.0,8.4046,393,38.99,23.4472,165
27,28,642.35,1582.84,1399.13,554.68,2388.12,9049.84,-922.54,47.41,522.57,8.4323,390,39.01,23.2841,164
28,29,641.91,1584.83,1400.99,554.25,2388.05,9050.47,-917.409999999999,47.24,522.41,8.4189,393,38.93,23.3597,163
29,30,642.2,1593.52,1396.08,554.37,2388.07,9045.62,-907.7600000000011,47.4,522.19,8.4065,390,39.05,23.411,162
30,31,642.02,1584.18,1396.9,554.13,2388.08,9058.78,-933.5000000000009,47.41,521.95,8.4104,392,38.94,23.3353,161
31,32,642.33,1591.38,1400.36,554.96,2388.04,9050.97,-921.2699999999995,47.25,521.92,8.4148,392,39.02,23.4999,160
32,33,642.71,1588.4,1402.43,554.61,2388.04,9047.13,-912.7099999999991,47.28,521.91,8.3753,392,38.83,23.3506,159
33,34,642.54,1581.47,1400.48,554.3,2388.03,9046.46,-919.8499999999995,47.47,521.7,8.4349,392,38.81,23.3092,158
34,35,642.44,1590.0,1403.0,554.3,2388.04,9045.76,-905.5900000000001,47.31,521.75,8.443,391,39.13,23.4164,157
35,36,642.54,1581.72,1405.54,554.53,2388.01,9044.56,-912.0799999999999,47.25,522.32,8.4246,392,38.86,23.4308,156
36,37,641.99,1579.11,1398.9,554.63,2388.07,9055.44,-923.4900000000007,47.29,522.29,8.4142,392,38.99,23.4352,155
37,38,641.93,1589.6,1399.5,554.7,2388.08,9055.27,-918.6600000000008,47.27,522.42,8.4158,392,39.06,23.4768,154
38,39,642.01,1583.21,1400.69,553.97,2388.02,9051.76,-919.9499999999998,47.12,522.23,8.414,392,38.7,23.3699,153
39,40,642.24,1582.08,1401.77,554.57,2388.06,9052.98,-921.9499999999998,47.33,521.84,8.3784,392,38.84,23.3769,152
40,41,642.4,1591.31,1403.21,553.72,2388.06,9048.99,-910.9099999999999,47.09,522.07,8.437,392,39.13,23.4444,151
41,42,642.12,1584.66,1401.38,553.94,2388.08,9057.06,-926.1799999999994,47.49,522.23,8.4137,392,39.0,23.375,150
42,43,642.24,1591.52,1406.05,553.68,2388.03,9057.88,-930.659999999999,47.32,522.74,8.4068,392,38.99,23.3148,149
43,44,641.93,1586.94,1401.2,554.15,2388.04,9046.87,-915.420000000001,47.45,522.3,8.4201,392,39.06,23.4753,148
44,45,642.53,1582.42,1399.16,553.83,2388.08,9060.32,-932.0099999999993,47.45,521.73,8.4099,393,38.79,23.3943,147
45,46,642.43,1588.29,1401.27,553.76,2388.06,9060.38,-931.6699999999992,47.2,522.02,8.3977,393,38.93,23.3745,146
46,47,642.21,1580.32,1402.89,554.38,2388.06,9052.04,-925.8300000000008,47.22,521.84,8.3973,392,38.99,23.4873,145
47,48,641.89,1588.51,1399.16,554.02,2388.08,9045.26,-915.2700000000004,47.4,521.91,8.4376,392,38.94,23.365,144
48,49,642.23,1584.35,1397.76,554.23,2388.07,9050.64,-915.1599999999999,47.22,521.37,8.4151,392,39.06,23.4498,143
49,50,642.77,1588.49,1403.62,553.92,2388.06,9048.6,-921.3000000000002,47.47,522.33,8.4116,392,38.85,23.4106,142
50,51,642.81,1585.54,1400.42,553.73,2388.02,9047.09,-912.7300000000005,47.12,521.91,8.4504,393,38.94,23.3651,141
51,52,642.76,1583.77,1395.57,553.04,2388.04,9056.01,-923.1900000000005,47.07,522.1,8.4539,391,39.0,23.3388,140
52,53,642.61,1579.82,1402.26,554.16,2388.05,9051.15,-916.7699999999995,47.29,521.96,8.4418,392,38.9,23.3775,139
53,54,642.42,1592.59,1401.2,553.95,2388.04,9056.29,-926.340000000001,47.38,522.44,8.4189,392,38.96,23.2348,138
54,55,642.41,1584.95,1401.58,554.45,2388.04,9048.94,-914.8400000000001,47.4,522.11,8.4071,392,39.06,23.3567,137
55,56,642.49,1586.33,1400.76,553.98,2388.01,9042.42,-907.0200000000004,47.26,522.48,8.4022,391,38.68,23.3408,136
56,57,642.13,1583.67,1402.79,553.42,2388.05,9050.8,-915.3199999999997,47.29,521.62,8.4263,392,38.84,23.3567,135
57,58,641.9,1590.46,1397.99,554.14,2388.09,9050.33,-918.25,47.26,522.21,8.4319,390,38.93,23.2893,134
58,59,642.33,1596.72,1403.51,554.62,2388.07,9050.06,-921.2499999999991,47.26,521.32,8.4476,392,38.92,23.4444,133
59,60,642.34,1582.75,1403.07,554.0,2388.06,9051.69,-918.8000000000002,47.41,522.49,8.3878,393,38.89,23.387,132
60,61,642.1,1583.55,1405.52,554.09,2388.11,9050.58,-918.9200000000001,47.31,522.34,8.4264,391,38.89,23.3638,131
61,62,642.17,1581.59,1399.54,554.45,2388.1,9053.62,-921.340000000001,47.28,522.19,8.4071,391,39.03,23.2707,130
62,63,642.6,1592.14,1395.38,553.48,2388.06,9049.96,-919.2299999999996,47.51,521.56,8.4357,394,38.77,23.3436,129
63,64,642.23,1584.51,1400.11,553.88,2388.1,9043.67,-915.5200000000004,47.45,521.82,8.4066,391,38.93,23.384,128
64,65,642.28,1584.72,1403.24,553.97,2388.03,9044.01,-911.0700000000006,47.56,521.54,8.4406,392,38.9,23.3752,127
65,66,642.5,1588.5,1399.52,554.0,2388.06,9059.45,-931.130000000001,47.14,521.76,8.3911,391,38.95,23.3152,126
66,67,642.33,1590.22,1403.02,554.31,2388.1,9050.24,-916.1700000000001,47.39,522.64,8.3925,393,38.97,23.291,125
67,68,642.51,1582.06,1404.42,554.04,2388.1,9051.78,-919.3900000000003,47.36,521.72,8.4242,392,38.95,23.3174,124
68,69,642.44,1590.7,1401.24,554.65,2388.07,9050.59,-921.46,47.41,522.22,8.4292,392,39.0,23.3742,123
69,70,642.22,1584.02,1402.78,554.01,2388.11,9053.43,-923.0700000000006,47.41,521.93,8.4279,392,38.86,23.4513,122
70,71,642.21,1580.41,1403.09,554.06,2388.03,9046.09,-911.8100000000004,47.3,521.72,8.423,391,38.8,23.3881,121
71,72,642.41,1579.25,1406.81,553.76,2388.07,9054.42,-920.4700000000003,47.27,521.97,8.3951,391,38.84,23.3085,120
72,73,642.29,1592.04,1397.93,553.88,2388.03,9049.64,-919.789999999999,47.29,522.04,8.404,391,39.03,23.3975,119
73,74,642.96,1584.65,1401.48,554.03,2388.07,9045.85,-913.1800000000003,47.58,522.25,8.4135,392,38.8,23.382,118
74,75,641.96,1582.32,1394.82,553.6,2388.07,9042.32,-912.1899999999996,47.22,521.77,8.4621,392,38.89,23.3521,117
75,76,642.21,1589.21,1398.94,553.66,2388.02,9056.55,-920.1099999999997,47.44,521.58,8.3996,390,39.02,23.4428,116
76,77,642.55,1586.3,1400.97,554.61,2388.06,9046.44,-911.1900000000005,47.41,521.6,8.453,393,38.99,23.275,115
77,78,641.99,1580.76,1404.1,553.47,2388.08,9042.37,-908.460000000001,47.4,522.28,8.3793,392,38.88,23.3486,114
78,79,642.12,1582.46,1403.93,553.77,2388.04,9047.86,-912.460000000001,47.35,521.85,8.4132,394,38.9,23.3121,113
79,80,641.94,1591.96,1393.58,553.91,2388.06,9043.67,-909.0100000000002,47.64,521.52,8.4235,392,38.89,23.3613,112
80,81,642.73,1584.82,1402.04,553.88,2388.1,9045.31,-916.4399999999996,47.43,521.66,8.4247,392,38.77,23.373,111
81,82,642.04,1589.07,1399.17,554.18,2388.1,9048.22,-914.1799999999994,47.25,521.95,8.3986,393,38.89,23.2713,110
82,83,642.66,1588.05,1406.38,553.49,2388.08,9049.08,-917.7600000000002,47.22,521.93,8.4128,391,38.8,23.3274,109
83,84,642.64,1585.52,1406.6,553.91,2388.05,9050.47,-918.9299999999994,47.38,521.54,8.4139,392,38.73,23.2653,108
84,85,642.28,1590.12,1405.96,554.4,2388.01,9056.08,-920.7699999999995,47.36,522.3,8.4499,392,39.01,23.284,107
85,86,641.84,1588.8,1403.56,553.69,2388.1,9047.26,-917.1999999999998,47.38,521.82,8.4173,394,38.94,23.3945,106
86,87,642.33,1586.69,1413.1,554.1,2388.14,9050.52,-920.1100000000006,47.34,521.43,8.4326,391,38.88,23.3402,105
87,88,641.96,1581.29,1406.09,554.48,2388.07,9046.73,-915.2599999999993,47.46,522.2,8.4586,392,38.9,23.3086,104
88,89,642.24,1584.73,1402.22,553.91,2388.05,9055.24,-920.0900000000001,47.46,521.55,8.4489,392,38.95,23.3288,103
89,90,642.67,1584.38,1412.93,552.88,2388.1,9051.27,-921.5500000000002,47.32,521.49,8.3961,391,38.98,23.4712,102
90,91,641.98,1584.84,1404.76,553.54,2388.04,9050.72,-916.3199999999997,47.32,521.55,8.3949,394,39.11,23.3842,101
91,92,642.89,1590.03,1400.77,553.81,2388.14,9048.36,-916.9700000000003,47.45,521.91,8.3982,392,38.99,23.3522,100
92,93,642.85,1593.74,1408.48,554.07,2388.07,9047.87,-914.7200000000012,47.46,521.43,8.421,392,38.86,23.2477,99
93,94,642.45,1583.27,1404.94,553.86,2388.15,9045.83,-913.4300000000003,47.48,521.61,8.4524,393,38.85,23.3758,98
94,95,642.86,1577.6,1410.1,553.91,2388.02,9048.85,-917.2200000000003,47.38,521.92,8.4575,394,38.76,23.3269,97
95,96,642.19,1584.07,1395.16,553.34,2388.07,9048.71,-918.0199999999995,47.39,521.66,8.4311,392,38.88,23.3255,96
96,97,642.07,1595.77,1407.81,553.4,2388.09,9046.1,-917.3600000000006,47.46,521.67,8.4105,392,39.01,23.2963,95
97,98,642.0,1591.11,1404.56,552.75,2388.06,9045.49,-917.5999999999995,47.37,522.31,8.4012,391,38.96,23.2554,94
98,99,642.46,1592.73,1406.13,553.76,2388.08,9045.14,-913.369999999999,47.4,521.42,8.4481,393,38.82,23.2323,93
99,100,642.22,1589.63,1411.35,554.22,2388.07,9045.72,-913.2299999999996,47.64,521.55,8.4241,392,38.93,23.409,92
100,101,642.75,1584.18,1403.41,553.37,2388.06,9052.3,-926.329999999999,47.62,521.89,8.4353,391,38.75,23.4149,91
101,102,642.85,1589.11,1403.42,553.42,2388.15,9051.36,-920.960000000001,47.49,521.38,8.4561,393,38.94,23.3653,90
102,103,642.21,1581.27,1403.21,553.64,2388.09,9053.28,-928.880000000001,47.57,521.41,8.4263,392,38.69,23.4289,89
103,104,642.29,1590.63,1406.25,553.66,2388.08,9044.73,-912.8399999999992,47.34,522.38,8.4021,392,38.96,23.3393,88
104,105,642.01,1588.28,1403.22,553.11,2388.09,9048.36,-914.3500000000004,47.31,521.81,8.4326,393,38.77,23.3857,87
105,106,642.68,1589.05,1404.45,553.6,2388.08,9049.82,-923.4399999999996,47.44,521.51,8.4664,392,39.08,23.4148,86
106,107,642.53,1595.13,1407.73,553.74,2388.07,9048.68,-916.2800000000007,47.35,521.75,8.4241,396,39.01,23.4086,85
107,108,643.49,1585.91,1399.47,554.43,2388.14,9047.03,-915.5100000000002,47.61,521.52,8.4133,393,38.75,23.3032,84
108,109,642.49,1586.45,1409.1,553.59,2388.1,9051.13,-920.159999999999,47.58,521.62,8.3757,394,39.05,23.3561,83
109,110,642.55,1590.01,1401.27,554.08,2388.13,9051.4,-924.2399999999998,47.55,522.01,8.4638,393,39.06,23.2951,82
110,111,642.67,1584.38,1408.11,553.49,2388.12,9051.64,-919.2399999999998,47.62,521.53,8.4447,392,38.92,23.2135,81
111,112,642.66,1586.46,1401.84,553.19,2388.06,9051.28,-919.7600000000002,47.22,521.9,8.4445,394,38.84,23.3207,80
112,113,642.68,1590.85,1406.59,552.91,2388.1,9053.15,-923.8299999999999,47.46,521.75,8.458,393,38.9,23.3101,79
113,114,642.31,1588.42,1402.97,554.29,2388.07,9046.58,-914.2200000000003,47.58,521.68,8.429,394,38.89,23.3754,78
114,115,642.66,1594.84,1406.6,554.13,2388.11,9050.37,-922.7700000000004,47.43,521.36,8.4345,393,38.93,23.3022,77
115,116,642.64,1580.31,1401.99,554.4,2388.08,9049.71,-915.2499999999991,47.43,521.6,8.4059,394,39.03,23.3512,76
116,117,642.38,1589.77,1409.35,554.59,2388.1,9049.61,-923.4900000000007,47.52,521.22,8.4256,391,38.73,23.1766,75
117,118,642.34,1585.67,1409.34,554.25,2388.1,9051.12,-915.9100000000008,47.55,521.31,8.4197,393,38.88,23.2966,74
118,119,642.67,1596.8,1404.46,553.77,2388.1,9045.89,-922.039999999999,47.55,521.46,8.4194,394,39.01,23.3188,73
119,120,642.81,1593.78,1407.68,553.66,2388.1,9048.72,-923.1499999999996,47.6,521.34,8.4029,393,38.81,23.3061,72
120,121,642.63,1593.56,1411.9,553.7,2388.07,9040.97,-907.0299999999997,47.44,521.3,8.4263,394,38.63,23.422,71
121,122,643.3,1593.68,1413.97,553.43,2388.15,9042.39,-910.579999999999,47.6,520.92,8.4256,393,38.86,23.2793,70
122,123,643.39,1586.66,1403.04,552.64,2388.12,9049.44,-919.7200000000003,47.41,521.6,8.4396,392,38.9,23.292,69
123,124,642.48,1587.14,1402.28,552.26,2388.13,9053.03,-919.210000000001,47.55,521.4,8.4416,393,38.8,23.2341,68
124,125,642.96,1585.47,1406.42,552.44,2388.13,9046.16,-919.8299999999999,47.63,521.57,8.4079,394,38.68,23.3039,67
125,126,642.49,1582.64,1418.5,553.72,2388.05,9049.11,-918.170000000001,47.49,521.35,8.4378,392,38.85,23.2289,66
126,127,642.99,1586.9,1399.49,553.81,2388.09,9047.9,-914.8999999999996,47.63,521.34,8.4626,393,38.91,23.2772,65
127,128,642.47,1593.87,1407.06,552.74,2388.13,9056.59,-924.5100000000002,47.62,521.96,8.4413,393,38.85,23.2641,64
128,129,642.41,1591.33,1408.42,552.42,2388.09,9046.08,-918.75,47.61,522.02,8.4681,393,38.84,23.2656,63
129,130,642.7,1585.9,1412.25,552.66,2388.13,9042.97,-917.6799999999994,47.46,521.49,8.3938,394,38.71,23.3461,62
130,131,643.01,1585.78,1413.25,553.7,2388.11,9045.1,-918.7200000000003,47.7,521.45,8.4328,391,38.73,23.3435,61
131,132,643.19,1596.06,1405.76,553.16,2388.17,9044.04,-915.1200000000008,47.56,521.64,8.4227,393,38.53,23.3186,60
132,133,642.45,1592.64,1410.11,553.82,2388.11,9050.95,-920.0200000000004,47.57,521.23,8.4604,394,38.95,23.2521,59
133,134,642.85,1583.62,1402.67,553.2,2388.11,9046.16,-914.8599999999997,47.75,521.52,8.4293,393,38.68,23.2833,58
134,135,642.45,1585.55,1406.83,553.09,2388.14,9050.65,-921.3099999999995,47.34,520.99,8.4242,392,38.85,23.2744,57
135,136,642.84,1584.72,1404.39,554.18,2388.06,9040.89,-910.4599999999991,47.43,521.54,8.4469,393,38.76,23.1699,56
136,137,642.43,1594.69,1405.15,553.39,2388.14,9040.55,-911.7399999999989,47.89,521.63,8.449,394,38.87,23.2593,55
137,138,642.79,1589.82,1413.34,552.91,2388.11,9049.64,-919.9699999999993,47.4,521.57,8.4208,392,39.0,23.3664,54
138,139,643.11,1592.28,1412.6,553.25,2388.06,9044.81,-919.8399999999992,47.67,521.03,8.4621,394,38.88,23.3422,53
139,140,643.05,1590.89,1408.36,552.15,2388.17,9055.85,-925.5799999999999,47.51,521.27,8.4397,393,38.82,23.3704,52
140,141,642.39,1590.02,1415.25,553.45,2388.13,9050.86,-929.9300000000003,47.49,521.06,8.4641,394,39.02,23.2382,51
141,142,642.51,1595.29,1413.42,553.11,2388.1,9046.61,-921.7400000000007,47.59,520.44,8.4291,392,38.71,23.2816,50
142,143,642.77,1593.1,1404.21,553.62,2388.13,9050.63,-923.8199999999988,47.52,520.98,8.4419,393,38.79,23.2305,49
143,144,643.09,1591.89,1405.76,553.77,2388.17,9049.33,-923.8599999999997,47.57,521.11,8.4601,393,38.75,23.2249,48
144,145,642.95,1594.92,1409.63,553.03,2388.13,9046.92,-916.0100000000002,47.54,521.13,8.4644,395,38.67,23.149,47
145,146,642.72,1586.75,1408.82,552.6,2388.12,9045.99,-916.8000000000002,47.63,521.13,8.4312,392,38.69,23.3233,46
146,147,642.25,1594.85,1409.96,553.09,2388.14,9041.24,-915.1099999999997,47.8,520.92,8.4428,393,38.77,23.2684,45
147,148,643.02,1590.03,1411.89,552.84,2388.16,9040.93,-916.4500000000007,47.49,521.08,8.4276,392,38.77,23.2498,44
148,149,642.9,1592.78,1410.7,552.54,2388.17,9057.24,-932.8999999999996,47.83,521.13,8.4731,394,38.77,23.2565,43
149,150,643.06,1589.01,1409.22,553.57,2388.12,9044.76,-921.7700000000004,47.6,520.5,8.4726,394,38.68,23.2082,42
150,151,642.82,1592.39,1411.94,552.41,2388.14,9048.12,-920.9100000000008,47.58,520.94,8.4612,394,38.56,23.2277,41
151,152,642.67,1598.6,1420.83,552.62,2388.18,9043.9,-924.8999999999996,47.72,520.39,8.4572,395,38.77,23.2369,40
152,153,642.99,1589.17,1414.56,552.68,2388.14,9049.43,-925.29,47.74,520.69,8.4435,393,38.78,23.1719,39
153,154,642.81,1597.03,1416.07,552.57,2388.14,9049.08,-919.8400000000001,47.73,520.72,8.4794,394,38.82,23.2366,38
154,155,642.83,1590.4,1414.89,552.89,2388.16,9049.56,-929.1499999999996,47.61,521.23,8.4729,394,38.68,23.2749,37
155,156,643.04,1585.61,1421.23,553.24,2388.26,9044.21,-915.7299999999996,47.58,520.75,8.4432,395,38.77,23.2791,36
156,157,642.2,1598.04,1412.47,552.32,2388.14,9053.12,-928.0500000000011,47.72,520.94,8.4328,392,38.67,23.2354,35
157,158,642.88,1596.82,1410.09,553.19,2388.2,9049.22,-922.8899999999994,47.68,520.88,8.4368,394,38.75,23.2894,34
158,159,642.89,1589.54,1420.37,552.18,2388.13,9048.06,-920.4499999999998,47.76,520.65,8.4403,394,38.76,23.253,33
159,160,643.45,1590.65,1418.08,551.87,2388.21,9045.42,-922.7399999999998,47.84,520.47,8.4433,396,38.52,23.2817,32
160,161,643.0,1594.2,1417.31,552.8,2388.18,9048.06,-921.0899999999992,47.77,520.47,8.4405,394,38.66,23.2962,31
161,162,643.15,1592.22,1423.48,552.68,2388.15,9044.45,-920.6800000000003,47.79,520.44,8.5015,394,38.78,23.1538,30
162,163,642.85,1600.54,1421.09,552.41,2388.2,9049.24,-925.1799999999994,47.89,520.3,8.5129,393,38.65,23.1419,29
163,164,643.17,1598.96,1416.76,551.9,2388.17,9048.92,-924.29,47.7,520.63,8.4803,394,38.62,23.1761,28
164,165,642.76,1597.03,1408.09,552.79,2388.19,9039.09,-912.5600000000004,47.89,520.69,8.4922,393,38.59,23.2129,27
165,166,643.34,1596.72,1422.37,552.13,2388.22,9043.11,-923.9700000000003,47.86,520.02,8.4663,395,38.62,23.145,26
166,167,643.02,1593.83,1414.72,552.57,2388.23,9042.05,-919.6399999999994,47.85,520.49,8.4632,394,38.77,23.3011,25
167,168,642.68,1591.19,1415.7,552.09,2388.22,9036.35,-911.9100000000008,47.84,520.78,8.4925,393,38.76,23.277,24
168,169,643.2,1590.16,1418.05,552.71,2388.25,9055.18,-929.8800000000001,47.88,520.44,8.4767,394,38.58,23.187,23
169,170,642.92,1592.71,1417.41,552.02,2388.21,9044.03,-922.2700000000004,47.86,520.23,8.49,395,38.66,23.1615,22
170,171,643.26,1592.06,1414.99,552.71,2388.2,9042.12,-917.2500000000009,48.03,519.85,8.4922,395,38.68,23.2444,21
171,172,643.33,1591.71,1413.73,551.69,2388.24,9039.1,-919.0200000000004,48.07,520.54,8.4595,393,38.65,23.1585,20
172,173,642.97,1590.69,1425.27,552.13,2388.22,9048.82,-927.1799999999994,47.9,520.11,8.5091,395,38.59,23.1789,19
173,174,642.64,1599.81,1422.58,552.32,2388.22,9041.25,-922.0799999999999,48.0,520.22,8.4476,393,38.57,23.0357,18
174,175,643.61,1603.29,1422.52,551.64,2388.23,9042.66,-916.8999999999996,47.86,520.38,8.489,394,38.58,23.1573,17
175,176,642.86,1592.27,1422.73,551.91,2388.23,9045.74,-921.9399999999996,47.84,519.8,8.4853,394,38.72,23.2491,16
176,177,643.79,1602.02,1423.99,551.93,2388.25,9046.2,-926.090000000001,48.03,520.24,8.4779,396,38.63,23.1673,15
177,178,643.38,1605.33,1424.65,552.18,2388.23,9046.17,-929.6099999999997,48.0,520.2,8.477,395,38.65,23.177,14
178,179,642.86,1592.56,1429.45,551.57,2388.26,9044.23,-927.3899999999994,48.02,520.38,8.4947,395,38.77,23.1888,13
179,180,643.58,1599.87,1417.14,552.91,2388.21,9039.33,-916.7600000000002,47.85,519.84,8.4737,395,38.86,23.007,12
180,181,643.44,1596.71,1420.64,551.83,2388.23,9038.29,-923.5000000000009,48.1,520.43,8.472,397,38.34,23.1652,11
181,182,644.21,1602.08,1426.62,551.9,2388.26,9041.23,-921.5599999999995,47.98,520.46,8.5158,397,38.43,23.1787,10
182,183,643.24,1597.23,1419.03,551.38,2388.21,9040.94,-923.1400000000003,48.03,520.05,8.5041,396,38.56,23.1302,9
183,184,644.07,1605.44,1432.52,551.0,2388.24,9047.91,-932.3000000000002,48.07,519.77,8.5133,395,38.43,23.0146,8
184,185,643.8,1603.46,1424.4,551.64,2388.29,9043.71,-930.0199999999995,48.15,519.82,8.4984,395,38.51,23.07,7
185,186,643.51,1595.16,1426.3,552.57,2388.21,9051.37,-927.920000000001,48.12,520.08,8.5227,397,38.47,23.0564,6
186,187,643.32,1592.1,1427.27,551.08,2388.29,9037.71,-922.039999999999,48.23,519.53,8.5218,396,38.42,23.0822,5
187,188,643.75,1602.38,1422.78,551.94,2388.31,9037.91,-920.2200000000003,48.0,519.79,8.5207,396,38.51,22.9588,4
188,189,644.18,1596.17,1428.01,550.7,2388.27,9044.55,-927.039999999999,48.08,519.58,8.5183,395,38.48,23.1127,3
189,190,643.64,1599.22,1425.95,551.29,2388.29,9040.58,-928.0,48.33,520.04,8.5223,398,38.49,23.0675,2
190,191,643.34,1602.36,1425.77,550.92,2388.28,9042.76,-928.1500000000005,48.15,519.57,8.5174,394,38.45,23.1295,1
191,192,643.54,1601.41,1427.2,551.25,2388.32,9033.22,-922.289999999999,48.25,520.08,8.5113,396,38.48,22.9649,0
192,1,641.89,1583.84,1391.28,554.53,2388.01,9054.72,-916.9999999999991,46.93,522.33,8.3905,391,38.94,23.4585,286
193,2,641.82,1587.05,1393.13,554.77,2387.98,9051.31,-920.2199999999993,47.24,522.7,8.4167,392,39.06,23.4085,285
194,3,641.55,1588.32,1398.96,555.14,2388.04,9054.24,-913.6599999999999,47.22,522.58,8.3802,391,39.11,23.425,284
195,4,641.68,1584.15,1396.08,554.25,2387.98,9058.01,-917.5700000000006,47.1,522.49,8.4018,391,39.13,23.5027,283
196,5,641.73,1579.03,1402.52,555.12,2388.03,9058.15,-921.4799999999996,47.25,522.27,8.3867,390,39.18,23.4234,282
197,6,641.3,1577.5,1396.76,554.98,2388.04,9054.07,-920.4200000000001,47.05,522.8,8.38,392,39.15,23.427,281
198,7,642.03,1587.49,1400.65,554.84,2388.05,9052.67,-916.3400000000001,47.1,522.14,8.3941,391,39.1,23.4718,280
199,8,642.55,1590.41,1395.39,554.65,2388.01,9055.82,-917.8999999999996,47.2,522.77,8.3861,391,39.11,23.4381,279
200,9,641.98,1581.99,1395.01,554.69,2388.02,9051.67,-906.3800000000001,47.14,522.4,8.3868,390,39.06,23.4875,278
201,10,641.99,1586.37,1394.86,554.63,2387.99,9058.88,-920.2399999999989,47.21,521.99,8.3982,391,39.2,23.6005,277
202,11,642.26,1589.21,1401.29,554.7,2388.01,9053.21,-917.3599999999988,47.21,522.2,8.4188,392,39.23,23.3888,276
203,12,641.64,1579.99,1401.9,554.57,2387.98,9047.89,-911.3999999999996,47.13,521.94,8.3925,392,39.12,23.4201,275
204,13,641.78,1586.77,1401.53,554.69,2387.94,9053.63,-913.0199999999995,47.03,522.33,8.3742,391,38.88,23.4317,274
205,14,641.66,1584.04,1395.46,554.47,2388.01,9047.3,-907.2099999999991,47.12,523.07,8.3887,391,38.93,23.4074,273
